Ruta,Tractocamión,Prob_vacio
BB CENTRO/BB PACABTUN,T541,0.28240367103294745
BB PACABTUN/BB CENTRO,T571,0.3899804352599859
BB CENTRO/BB PONIENTE,T541,0.3263535626387164
BB IZAMAL/BB PONIENTE,T620,0.34308107605747
BB PACABTUN/BB PROGRESO,T709,0.3438092170168089
BB PROGRESO/BB PACABTUN,T598,0.363768614944393
BB PONIENTE/BB CENTRO,T541,0.34978494070749006
BB CANCUN PLANTA/BB PLAYA DEL CARMEN,T757,0.3500659585061668
BB IZAMAL/BB PACABTUN,T805,0.3759548475853801
BB MOTUL/BB PACABTUN,T576,0.38049153729674273
BB PACABTUN/BB PLAYA DEL CARMEN,T777,0.36472184669893953
BB PACABTUN/BB PONIENTE,T626,0.39960391318132393
TULUM/BB PLAYA DEL CARMEN,T806,0.36582174017634406
BB PONIENTE/BB IZAMAL,T742,0.40019830477888546
BB PONIENTE/BB PACABTUN,T651,0.42469719314608395
BB PACABTUN/BB MOTUL,T621,0.411227849454612
BB PACABTUN/BB TICUL,T580,0.4083831720948263
BB CANCUN PLANTA/BB COZUMEL,T628,0.37104812053841946
BB PACABTUN/BB IZAMAL,T794,0.4168188393515572
BB TICUL/BB PACABTUN,T555,0.41966450624103885
BB PONIENTE/BB MOTUL,T686,0.4136075672449626
BB CIUDAD DEL CARMEN/BB PACABTUN,T778,0.43037495769126916
BB PACABTUN/BB CANCUN PLANTA,T690,0.4007230395028115
BB MOTUL/BB PONIENTE,T779,0.42891252517657363
BB CAMPECHE OTE/BB DZITBALCHE,T706,0.42337760721078965
BB CHAMPOTON/BB CAMPECHE OTE,T685,0.43264088243529264
BB CAMPECHE OTE/BB ESCARCEGA,T787,0.43276627651740784
BB COZUMEL/BB CANCUN PLANTA,T808,0.3956863310581356
BB DZITBALCHE/BB CAMPECHE OTE,T796,0.42198663065970593
BB CAMPECHE OTE/BB CHAMPOTON,T599,0.4370658229656953
MEGA EMPACK/BB CHETUMAL,T708,0.4350624596553205
BB PACABTUN/BB CIUDAD DEL CARMEN,T622,0.43187117722463825
BB CANCUN PLANTA/BB IZAMAL,T632,0.3981535024557256
BB CHETUMAL/MEGA EMPACK,T797,0.4437101976172052
BB TICUL/BB JOSE MARIA MORELOS,T627,0.441768347620894
BB CANCUN PLANTA/BB FELIPE CARRILO PUERTO,T616,0.40673617819359625
BB TIZIMIN/BB PACABTUN,T562,0.4396410237726693
BB PLAYA DEL CARMEN/TULUM,T469,0.4049544149289402
BB CHAMPOTON/BB PACABTUN,T755,0.40705034350460545
BB VALLADOLID/BB TIZIMIN,T807,0.4272253678146206
BB JOSE MARIA MORELOS/BB TICUL,T633,0.44427589795511346
BB CANCUN PLANTA/BB TULUM,T625,0.4063291693554034
BB CANCUN NORTE/BB PONIENTE,T795,0.43574777262313347
BB FELIPE CARRILO PUERTO/BB CANCUN PLANTA,T752,0.41774973621529143
BB PLAYA DEL CARMEN/BB PACABTUN,T623,0.4117022537253965
BB PONIENTE/BB TICUL,T617,0.43589962990073017
BB CANCUN PLANTA/CHEDRAUI CANCUN MUNDO MAYA,T711,0.4145428928325547
BB TIZIMIN/BB VALLADOLID,T792,0.4392419142000861
BB ESCARCEGA/BB CAMPECHE OTE,T624,0.4390008498851435
BB PONIENTE/BB CANCUN NORTE,T748,0.43890458036158264
BB DZITBALCHE/BB PACABTUN,T782,0.44284214476169914
BB VALLADOLID/BB PACABTUN,T610,0.44552549956837934
BB PACABTUN/BB DZITBALCHE,T573,0.43568645074314644
BB PLAYA DEL CARMEN/BB CANCUN PLANTA,T747,0.4151566625782505
BB CANCUN NORTE/BB VALLADOLID,T620,0.3984224931217946
